id,age,overall_scores,potential_scores,height,weight,wage,total_stats,international_reputation,nationality_Brazil,nationality_England,nationality_France,nationality_Germany,nationality_Other,nationality_Spain,better_position_Defense,better_position_Goalkeeper,better_position_Midfield,foot_Right,value
173204,1.5756186754565302,0.5922907736492798,-0.25501802089630893,0.24123100557633098,0.5303489620248276,-0.35814546222108407,0.8839640943672274,1.9121811127470998,0,0,0,0,1,0,1,0,0,0,1100000
173208,1.5756186754565302,1.6155998059895702,0.965343497078273,0.24123100557633098,-0.040254349788996314,0.34984265719538454,1.687871269393952,1.9121811127470998,0,0,0,0,1,0,1,0,0,0,4700000
173210,1.169195180035568,2.492721833709819,2.0113676553422004,-0.1275755466027644,-0.16581498075047416,5.63615394883835,2.1032874172546516,4.151229668438872,0,0,0,0,1,0,0,0,1,1,19500000
173221,1.5756186754565302,1.6155998059895702,0.965343497078273,-0.1275755466027644,-0.7364182925642981,0.5858386970008741,1.591710124055827,4.151229668438872,0,0,0,0,1,0,0,0,1,1,6500000
173306,1.5756186754565302,1.6155998059895702,0.965343497078273,-0.1275755466027644,0.14948171477501337,1.624221272145028,1.7648001856644517,1.9121811127470998,0,0,0,0,0,0,1,0,0,1,6500000
173337,2.1852539185879736,-0.28483125407096893,-1.3010421791602365,-0.4963820987818598,-0.2927707298337449,-0.40534467018218195,0.022360232137628066,1.9121811127470998,0,0,0,0,1,0,0,0,1,1,170000
173370,1.7788304231670113,0.7384777782693214,-0.08068066118565434,-0.8651886509609593,-0.16581498075047416,-0.16934863037669243,1.314766025482027,1.9121811127470998,0,0,0,0,1,0,0,0,1,1,1500000
173373,1.5756186754565302,1.907973815229653,1.3140182164995822,1.7164572142927166,1.541809600325615,3.5121895905889446,-1.227734657257996,4.151229668438872,0,0,0,0,0,0,0,1,0,1,8000000
173401,2.794889161719417,-1.0157662771711762,-2.172728977713509,0.6100375577554263,1.3520735357616034,-0.45254387814327984,-2.2393499062150704,-0.32686744294467235,0,0,0,0,1,0,0,1,0,1,20000
173426,1.372406927746049,2.0541608198496943,1.4883555762102367,1.7164572142927166,1.6687653494088857,0.7274363208841678,-1.327742248409646,4.151229668438872,0,0,0,0,1,0,0,1,0,1,11000000
173432,1.372406927746049,1.4694128013695287,0.7910061373676185,0.24123100557633098,0.6559095929863035,-0.4997430861043778,0.8031887322832025,4.151229668438872,0,0,0,0,1,0,1,0,0,0,0
173434,1.5756186754565302,0.44610376902923843,-0.4293553806069635,-0.4963820987818598,-0.41972647891701564,-0.07495021445449662,0.7531849367073775,-0.32686744294467235,0,0,0,0,1,0,0,0,1,1,1100000
173436,1.372406927746049,0.29991676440919696,-0.6036927403176181,-1.9716083074982496,-1.8120543644676173,0.1610458253509929,0.5108588504553027,1.9121811127470998,0,1,0,0,0,0,0,0,1,1,825000
173474,1.372406927746049,1.3232257967494871,0.6166687776569639,-1.2339952031400547,-0.41972647891701564,0.7746355288452657,1.9186580182054516,1.9121811127470998,0,0,0,0,1,0,0,0,1,1,6000000
173518,1.372406927746049,0.007542755169114016,-0.9523674597389272,-0.1275755466027644,0.2764374638582841,-0.21654783833779034,-0.7238502556862214,-0.32686744294467235,0,1,0,0,0,0,1,0,0,1,500000
173521,1.5756186754565302,2.0541608198496943,1.4883555762102367,0.9788441099345259,0.2764374638582841,0.34984265719538454,0.6877953578774526,4.151229668438872,0,0,0,0,0,1,1,0,0,0,8500000
173530,1.169195180035568,-0.28483125407096893,-1.3010421791602365,-1.2339952031400547,-1.8120543644676173,-0.3109462542599862,0.3339223430331528,-0.32686744294467235,0,0,0,0,1,0,0,0,0,0,475000
173531,0.9659834323250869,0.007542755169114016,-0.9523674597389272,1.7164572142927166,0.14948171477501337,-0.35814546222108407,-1.8970162288113455,-0.32686744294467235,0,1,0,0,0,0,0,1,0,1,525000
173533,1.169195180035568,0.15372975978915548,-0.7780301000282727,1.3476506621136213,1.6687653494088857,0.49144028107867826,-1.8623982164896205,-0.32686744294467235,0,1,0,0,0,0,0,1,0,1,575000
173538,0.5595599369041246,-0.8695792725511348,-1.9983916180028547,0.24123100557633098,0.972601406633584,-0.35814546222108407,-0.2545838664361717,-0.32686744294467235,0,1,0,0,0,0,0,0,1,1,250000
173546,1.169195180035568,1.3232257967494871,0.6166687776569639,1.7164572142927166,-0.16581498075047416,1.57702206418393,-0.20842651667387177,1.9121811127470998,0,1,0,0,0,0,1,0,0,1,5500000
173608,0.9659834323250869,1.3232257967494871,0.6166687776569639,1.7164572142927166,0.6559095929863035,0.7274363208841678,0.6262522248610526,-0.32686744294467235,0,0,0,0,0,1,0,0,0,1,7500000
173614,1.372406927746049,0.15372975978915548,-0.7780301000282727,0.6100375577554263,-0.5466822280002884,-0.3109462542599862,-0.7007715808050714,-0.32686744294467235,0,1,0,0,0,0,1,0,0,0,575000
173660,1.372406927746049,-0.5772052633110518,-1.6497168985815456,-1.60280175531915,-1.1158904216923176,-0.35814546222108407,0.7070275869450776,-0.32686744294467235,0,0,0,0,1,0,1,0,0,1,230000
173665,1.169195180035568,-1.600514295651342,-2.8700784165561277,-1.9716083074982496,-0.16581498075047416,-0.40534467018218195,-0.06995446738697186,-0.32686744294467235,0,1,0,0,0,0,0,0,1,1,80000
173666,1.372406927746049,-0.4310182586910104,-1.475379538870891,-0.4963820987818598,-0.2927707298337449,-0.35814546222108407,0.6185593332340026,-0.32686744294467235,0,1,0,0,0,0,0,0,1,1,350000
173671,1.5756186754565302,0.007542755169114016,-0.9523674597389272,0.6100375577554263,1.3520735357616034,0.113846617389895,-0.7892398345161463,-0.32686744294467235,0,1,0,0,0,0,1,0,0,1,350000
173673,1.7788304231670113,0.007542755169114016,-0.9523674597389272,-1.9716083074982496,-2.128746178114899,-0.3109462542599862,0.8993498776213275,-0.32686744294467235,0,0,0,0,1,0,0,0,1,0,300000
173695,1.5756186754565302,-0.5772052633110518,-1.6497168985815456,-0.1275755466027644,-0.9889346726090447,-0.40534467018218195,-0.5969175438398965,-0.32686744294467235,0,0,0,0,1,0,1,0,0,0,170000
173703,0.7627716846146058,0.7384777782693214,-0.08068066118565434,0.6100375577554263,0.4033932129415549,0.20824503331209082,0.5300910795229277,-0.32686744294467235,0,0,0,0,1,0,1,0,0,1,2400000
173731,0.9659834323250869,2.3465348290897774,1.837030295631546,0.6100375577554263,0.972601406633584,5.63615394883835,2.2340665749145012,6.390278224130644,0,0,0,0,1,0,0,0,0,0,24500000
173735,1.169195180035568,0.44610376902923843,-0.4293553806069635,-0.8651886509609593,-0.040254349788996314,0.7274363208841678,0.6031735499799027,1.9121811127470998,0,0,0,0,1,0,1,0,0,0,1300000
173752,0.7627716846146058,0.007542755169114016,-0.9523674597389272,-0.1275755466027644,-0.5466822280002884,-0.16934863037669243,0.36084746372782783,-0.32686744294467235,0,0,0,0,1,0,1,0,0,1,625000
173771,1.9820421708774925,1.907973815229653,1.3140182164995822,0.24123100557633098,0.5303489620248276,1.4354244403006362,1.8686542226296268,4.151229668438872,0,0,0,0,1,0,1,0,0,1,4500000
173796,1.5756186754565302,-0.28483125407096893,-1.3010421791602365,-0.1275755466027644,-0.5466822280002884,-0.40534467018218195,0.4877801755741527,-0.32686744294467235,0,0,0,0,0,1,0,0,1,0,325000
173818,1.372406927746049,1.1770387921294456,0.44233141794630937,0.24123100557633098,-0.2927707298337449,0.9162331527285593,0.7993422864696775,1.9121811127470998,0,0,0,0,0,1,0,0,0,1,5500000
173836,1.169195180035568,-0.7233922679310933,-1.8240542582922001,-0.8651886509609593,-0.2927707298337449,-0.35814546222108407,0.14929294398395299,-0.32686744294467235,0,1,0,0,0,0,0,0,1,1,275000
173857,2.1852539185879736,0.8846647828893628,0.09365669852500023,1.7164572142927166,1.541809600325615,-0.16934863037669243,-1.7239261672027206,1.9121811127470998,0,0,0,0,0,0,0,1,0,1,675000
173859,1.169195180035568,0.007542755169114016,-0.9523674597389272,-1.60280175531915,-1.1158904216923176,-0.21654783833779034,0.43392993418480275,-0.32686744294467235,0,1,0,0,0,0,0,0,0,1,675000
173891,1.169195180035568,-0.28483125407096893,-1.3010421791602365,0.6100375577554263,0.5303489620248276,-0.35814546222108407,0.8185745155373024,-0.32686744294467235,0,1,0,0,0,0,0,0,0,1,475000
173909,1.5756186754565302,1.6155998059895702,0.965343497078273,0.6100375577554263,1.541809600325615,-0.16934863037669243,1.8340362103079018,4.151229668438872,0,0,0,0,1,0,0,0,0,1,6500000
174379,1.9820421708774925,1.1770387921294456,0.44233141794630937,-0.4963820987818598,-0.7364182925642981,-0.47614348212382884,1.1916797594492272,1.9121811127470998,0,0,0,0,1,0,0,0,1,0,2900000
174543,2.3884656662984547,1.4694128013695287,0.7910061373676185,0.24123100557633098,0.6559095929863035,0.0666474094287971,-0.6199962187210465,4.151229668438872,0,0,0,0,1,0,0,1,0,1,900000
174547,2.1852539185879736,0.29991676440919696,-0.6036927403176181,-0.8651886509609593,-0.2927707298337449,-0.40534467018218195,0.2300683060679779,-0.32686744294467235,0,0,0,0,1,0,1,0,0,0,210000
174549,1.7788304231670113,0.8846647828893628,0.09365669852500023,-0.8651886509609593,-0.41972647891701564,-0.12214942241559452,1.2070655427033272,1.9121811127470998,0,0,0,0,1,0,0,0,1,1,1900000
174669,1.5756186754565302,0.15372975978915548,-0.7780301000282727,-0.8651886509609593,-1.2428461707755882,-0.3109462542599862,0.8262674071643524,-0.32686744294467235,0,0,0,0,1,0,0,0,1,1,425000
174808,0.9659834323250869,-0.13864424945092746,-1.126704819449582,0.9788441099345259,0.4033932129415549,-0.21654783833779034,0.14544649817042798,-0.32686744294467235,0,0,0,0,1,0,0,0,0,1,600000
175092,2.3884656662984547,0.29991676440919696,-0.6036927403176181,-0.1275755466027644,1.3520735357616034,-0.35814546222108407,0.6801024662504026,1.9121811127470998,0,0,0,0,1,0,1,0,0,0,210000
175105,0.7627716846146058,-0.28483125407096893,-1.3010421791602365,-0.4963820987818598,-0.5466822280002884,-0.21654783833779034,1.0147432520270774,1.9121811127470998,0,0,0,0,1,0,1,0,0,1,475000
175141,1.9820421708774925,-0.28483125407096893,-1.3010421791602365,0.6100375577554263,1.541809600325615,-0.40534467018218195,-1.9854844825224205,-0.32686744294467235,0,0,0,0,1,0,0,1,0,1,130000
175254,1.169195180035568,1.6155998059895702,0.965343497078273,0.24123100557633098,0.972601406633584,2.3322093915614963,1.291687350600877,1.9121811127470998,0,0,0,0,1,0,0,0,0,0,9500000
175314,1.169195180035568,0.5922907736492798,-0.25501802089630893,1.7164572142927166,2.9341374858762146,1.7186196880672238,0.6300986706745776,-0.32686744294467235,0,0,0,0,1,0,0,0,1,1,1800000
175316,1.372406927746049,-0.28483125407096893,-1.3010421791602365,-1.60280175531915,-1.1158904216923176,-0.40534467018218195,0.29930433071142787,-0.32686744294467235,0,0,0,0,1,0,1,0,0,0,325000
175379,1.5756186754565302,1.7617868106096115,1.1396808567889276,0.24123100557633098,-0.2927707298337449,1.057830776611853,1.2724551215332522,1.9121811127470998,0,0,0,0,0,1,0,0,1,1,7500000
175389,0.7627716846146058,0.15372975978915548,-0.7780301000282727,-0.1275755466027644,1.2251177866783325,-0.07495021445449662,0.47239439232005276,-0.32686744294467235,0,0,0,0,1,0,0,0,0,1,1000000
175391,1.9820421708774925,0.7384777782693214,-0.08068066118565434,-0.8651886509609593,-0.040254349788996314,-0.26374704629888823,0.8647318652996024,-0.32686744294467235,0,0,0,0,1,0,0,0,0,1,1400000
175393,1.9820421708774925,0.15372975978915548,-0.7780301000282727,-0.8651886509609593,-1.8120543644676173,-0.47614348212382884,0.2300683060679779,-0.32686744294467235,0,0,0,0,1,0,0,0,1,1,400000
175608,1.9820421708774925,0.44610376902923843,-0.4293553806069635,-0.8651886509609593,0.4033932129415549,-0.4997430861043778,0.9108892150619025,1.9121811127470998,0,0,0,0,1,0,1,0,0,1,0
175613,1.7788304231670113,0.15372975978915548,-0.7780301000282727,0.24123100557633098,1.0995571557168566,-0.40534467018218195,-0.09687958808164684,-0.32686744294467235,0,0,1,0,0,0,1,0,0,1,325000
175688,1.372406927746049,-0.4310182586910104,-1.475379538870891,-0.4963820987818598,1.7957210984921566,-0.35814546222108407,-0.4122881447906966,-0.32686744294467235,0,0,0,0,1,0,1,0,0,1,250000
175753,2.1852539185879736,0.15372975978915548,-0.7780301000282727,-0.8651886509609593,-0.7364182925642981,-0.45254387814327984,0.45700860906595275,1.9121811127470998,0,0,0,0,1,0,0,0,1,1,300000
175789,1.372406927746049,0.15372975978915548,-0.7780301000282727,0.24123100557633098,0.2764374638582841,0.1610458253509929,1.0301290352811774,1.9121811127470998,0,0,0,0,1,0,0,0,0,1,675000
175792,-1.0661340447797243,-0.13864424945092746,0.44233141794630937,-0.8651886509609593,-0.2927707298337449,-0.21654783833779034,-0.1815013959791968,-0.32686744294467235,1,0,0,0,0,0,0,0,1,1,1400000
175895,1.169195180035568,1.3232257967494871,0.6166687776569639,0.24123100557633098,0.5303489620248276,0.5858386970008741,1.645560365445177,1.9121811127470998,0,0,0,0,1,0,0,0,1,1,6500000
175897,1.169195180035568,0.29991676440919696,-0.6036927403176181,0.9788441099345259,1.6687653494088857,0.1610458253509929,-1.9508664702006955,-0.32686744294467235,0,0,0,0,1,0,0,1,0,1,675000
175932,1.169195180035568,0.8846647828893628,0.09365669852500023,0.6100375577554263,0.2764374638582841,0.2554442412731887,0.7224133701991775,-0.32686744294467235,0,0,0,0,1,0,1,0,0,1,3000000
175941,1.5756186754565302,-0.28483125407096893,-1.3010421791602365,0.9788441099345259,1.0995571557168566,-0.45254387814327984,-0.6276891103480965,-0.32686744294467235,0,0,0,0,1,0,1,0,0,1,250000
