id,age,overall_scores,potential_scores,height,weight,wage,release_clause,total_stats,international_reputation,nationality_Brazil,nationality_England,nationality_France,nationality_Germany,nationality_Other,nationality_Spain,better_position_Defense,better_position_Goalkeeper,better_position_Midfield,foot_Right,value
255362,-0.763499893306429,-0.5147342180451506,0.23985332162833,-0.8355805019939612,-0.3604724596104373,-0.008806125262512812,-0.356619770981679,-0.3931745091090311,-0.223770663226348,0,0,0,0,1,0,1,0,0,0,450000
255365,-0.9644080748063202,-1.6780906981630557,-0.18377034974955478,-0.8355805019939612,-0.9555125694386678,-0.835845265886335,-0.7522685849055806,-0.6182141167845118,-0.223770663226348,0,0,0,0,1,0,0,0,1,1,200000
255370,-1.1653162563062114,-0.12694872467251567,1.0871006643840995,-0.4537616097882731,-0.3604724596104373,-0.2451030225836049,0.11213806290642175,-0.11698953605275943,-0.223770663226348,0,0,0,0,0,0,0,0,0,0,800000
255374,-0.9644080748063202,-2.0658761915356907,-0.6073940211274396,-0.07194271758258927,0.036220946941716396,-0.7885858864221167,-0.824517498752554,-0.16813490143355048,-0.223770663226348,0,0,0,1,0,0,0,0,1,1,150000
255377,-1.1653162563062114,-0.7086269647314681,1.5107243357619844,-0.07194271758258927,-1.4192938315106722,0.9363814640218555,0.11213806290642175,-0.40851811872326843,-0.223770663226348,0,1,0,0,0,0,0,0,1,1,550000
255378,-1.3662244378061026,-1.871983444849373,0.6634769930062148,-0.8355805019939612,-1.4192938315106722,-0.8122155761542259,-0.824517498752554,-1.3649364513440612,-0.223770663226348,0,0,0,0,1,0,1,0,0,0,150000
255380,-0.5625917118065378,0.6486222620727543,0.8752888286951572,-1.217399394199645,0.23456765021779324,2.5904597452695,0.8002229566871202,0.7882834311872423,-0.223770663226348,0,0,0,0,1,0,0,0,1,1,1100000
255391,-1.3662244378061026,-1.096412458104103,2.357971678517754,-0.4537616097882731,-0.8227952900407051,-0.717696817225789,-0.2809304326658022,-0.40851811872326843,-0.223770663226348,0,0,0,0,1,0,0,0,1,0,325000
255393,-0.3616835303066465,-0.5147342180451506,-0.18377034974955478,-0.8355805019939612,-1.4192938315106722,-0.7413265069578983,-0.49165643138614107,-0.6591304090891447,-0.223770663226348,0,0,0,0,0,1,0,0,1,0,450000
255394,-1.5671326193059938,-1.871983444849373,0.4516651573172724,-0.07194271758258927,-1.4192938315106722,-0.835845265886335,-0.7720510256017756,-0.3624872898805565,-0.223770663226348,0,0,0,0,1,0,0,0,1,1,160000
255397,-0.9644080748063202,-0.9025197114177856,0.4516651573172724,0.6916950668287783,1.0950423188419494,-0.717696817225789,-0.42284794200807124,-0.024927878367335524,-0.223770663226348,0,0,0,0,1,0,1,0,0,0,375000
255402,-1.1653162563062114,-1.2903052047904207,0.6634769930062148,0.3098761746230945,-0.9555125694386678,-0.48139991990469694,-0.5424026923024676,-0.9250863090692582,-0.223770663226348,0,0,0,0,1,0,0,0,0,1,275000
255404,-1.1653162563062114,-0.9025197114177856,0.4516651573172724,-1.217399394199645,-0.9555125694386678,-0.717696817225789,-0.3265160568787735,-1.017147966754682,-0.223770663226348,0,0,0,0,0,1,0,0,0,1,400000
255406,-1.1653162563062114,-0.7086269647314681,0.6634769930062148,0.3098761746230945,0.036220946941716396,-0.7413265069578983,-0.2972724488930938,-1.2575311840444,-0.223770663226348,0,0,0,0,0,1,1,0,0,1,425000
255409,-0.9644080748063202,1.0364077554453892,2.1461598428288116,1.0735139590344664,0.9623250394439865,0.7000845667007634,3.2085200849195643,0.6655345542733437,-0.223770663226348,0,0,0,0,1,0,0,0,0,1,3100000
255410,0.040132832693135875,-0.9025197114177856,-1.2428295281942667,-0.07194271758258927,-0.691536442284479,-0.8240304210202805,-0.8073153764080365,-0.8585973340742298,-0.223770663226348,0,0,0,0,1,0,1,0,0,1,250000
255419,-0.763499893306429,-1.484197951476738,-1.0310176925053243,1.0735139590344664,0.7639783361679097,0.4637876693796713,-0.8030148458219071,-1.1808131359732135,-0.223770663226348,0,0,0,0,1,0,0,0,0,1,160000
255420,-0.16077534880675534,0.6486222620727543,0.23985332162833,1.8371517434458342,2.0867758352223356,1.6452721559851318,0.5421911215193582,-0.1885930475858669,-0.223770663226348,0,0,0,0,1,0,0,0,0,1,1200000
255430,-1.3662244378061026,-2.0658761915356907,1.0871006643840995,-0.8355805019939612,-0.9555125694386678,-0.835845265886335,-0.6851803077619625,-0.827910114845755,-0.223770663226348,0,0,0,0,1,0,0,0,1,1,150000
255432,-1.3662244378061026,-0.5147342180451506,1.298912500073042,-0.8355805019939612,-0.3604724596104373,-0.835845265886335,0.37016989807418366,-0.23973841296665796,-0.223770663226348,0,0,0,0,1,0,0,0,1,1,625000
255435,-1.5671326193059938,-1.871983444849373,-0.18377034974955478,-0.4537616097882731,-0.49318973900840213,-0.835845265886335,-0.7032425362237058,-1.4365399628771687,-0.223770663226348,0,0,0,0,1,0,0,0,1,1,160000
255438,-1.3662244378061026,-1.2903052047904207,0.8752888286951572,-1.5992182864053288,-2.1470512207368664,-0.8122155761542259,-0.688620732230866,-0.9864607475262074,-0.223770663226348,0,0,0,0,1,0,0,0,1,1,250000
255439,-1.1653162563062114,-1.6780906981630557,-0.18377034974955478,-1.217399394199645,-1.6832699586648632,-0.7295116620918436,-0.7858127234773896,-1.7331830820857568,-0.223770663226348,0,0,0,0,1,0,0,0,1,1,190000
255440,-1.3662244378061026,-1.096412458104103,0.4516651573172724,-0.4537616097882731,-1.0882298488366327,-0.776771041556062,-0.5682058758192438,-0.40851811872326843,-0.223770663226348,0,0,0,0,1,0,0,0,0,1,325000
255441,-1.1653162563062114,-0.5147342180451506,1.0871006643840995,1.0735139590344664,1.0950423188419494,-0.717696817225789,0.026127451183834458,-0.6898176283176193,-0.223770663226348,0,0,0,0,1,0,1,0,0,0,600000
255445,-1.1653162563062114,-0.12694872467251567,1.298912500073042,1.0735139590344664,-0.22775518021247457,-0.7885858864221167,0.19814867462900906,-0.5108088494848505,-0.223770663226348,0,0,0,0,1,0,1,0,0,1,775000
255449,-1.1653162563062114,-0.9025197114177856,0.4516651573172724,0.6916950668287783,0.036220946941716396,-0.717696817225789,-0.5277808883096278,-0.40340358218518935,-0.223770663226348,0,0,0,0,1,0,0,0,1,0,350000
255450,-0.3616835303066465,-0.12694872467251567,-0.39558218543849716,-0.07194271758258927,0.367284929615756,0.4637876693796713,-0.05988316053875284,-0.06584417067196836,-0.223770663226348,0,0,1,0,0,0,0,0,1,1,600000
255451,0.6428573771928094,-0.3208414713588332,-1.6664531995721514,-0.8355805019939612,-0.3604724596104373,-0.835845265886335,-0.4907963252689152,-0.8125665052315177,-0.223770663226348,0,0,0,0,1,0,1,0,0,1,325000
255454,-0.5625917118065378,-0.5147342180451506,-0.6073940211274396,-1.217399394199645,-0.49318973900840213,-0.835845265886335,-0.48907611303446347,0.23591348507469886,-0.223770663226348,0,0,0,0,1,0,0,0,1,0,425000
255456,-0.763499893306429,-0.12694872467251567,0.028041485939387607,0.3098761746230945,0.7639783361679097,-0.8240304210202805,-0.23190438398392743,0.5172129946690497,-0.223770663226348,0,0,0,0,1,0,1,0,0,0,575000
255457,-0.763499893306429,-1.2903052047904207,0.23985332162833,-1.217399394199645,-1.2209471282345954,-0.7413265069578983,-0.6352941529628618,-1.1296677705924223,-0.223770663226348,0,0,0,0,1,0,1,0,0,0,250000
255462,-0.763499893306429,-0.12694872467251567,1.5107243357619844,-0.4537616097882731,-1.0882298488366327,-0.2451030225836049,0.6282017332419455,0.3688914350647556,-0.223770663226348,0,0,0,0,0,0,0,0,1,1,975000
255464,-0.9644080748063202,-0.12694872467251567,1.298912500073042,-0.07194271758258927,-0.3604724596104373,-0.7413265069578983,0.2841592863515964,0.6501909446591064,-0.223770663226348,0,0,0,0,1,0,0,0,1,1,850000
255467,-1.3662244378061026,-1.6780906981630557,-0.8192058568163819,0.6916950668287783,0.036220946941716396,-0.835845265886335,-0.8907456697789462,-1.6666941070907284,-0.223770663226348,0,0,0,0,1,0,1,0,0,1,130000
255469,-0.5625917118065378,-0.3208414713588332,-0.39558218543849716,-2.362856070816701,-2.1470512207368664,-0.776771041556062,-0.5303612066613054,-0.5517251417894834,-0.223770663226348,0,0,0,0,1,0,1,0,0,0,450000
255474,-1.5671326193059938,-1.096412458104103,0.8752888286951572,-0.4537616097882731,-0.691536442284479,-0.48139991990469694,-0.4400500643525887,-0.3727163629567147,-0.223770663226348,0,1,0,0,0,0,0,0,1,1,300000
